lat,lng,alt
42.5398856082, -83.1204529941, 195.812219758
42.5398860989, -83.1204529898, 195.790662912
42.5398856634, -83.120453041, 195.656651568
42.5398860202, -83.1204529886, 195.684391177
42.5398860339, -83.1204529858, 195.6945221
42.5398862898, -83.120452667, 195.699103568
42.5398860031, -83.1204525108, 195.701478481
42.5398833078, -83.1204526498, 195.701705217
42.5398768172, -83.1204526474, 195.699714342
42.5398676015, -83.1204520113, 195.697117368
42.539856868, -83.1204516366, 195.693276912
42.5398442198, -83.1204503689, 195.682557235
42.5398293923, -83.1204498519, 195.552981579
42.5398139123, -83.1204488201, 195.582052639
42.5397971116, -83.1204473601, 195.592250872
42.5397799417, -83.1204464936, 195.596022312
42.5397631638, -83.1204455082, 195.597544028
42.5397457566, -83.1204448443, 195.596069794
42.5397281282, -83.1204443796, 195.592041665
42.5397211814, -83.1204443477, 195.597205781
42.5397220173, -83.1204446322, 195.603320703
42.5397251834, -83.1204446357, 195.605855635
42.5397261617, -83.1204443431, 195.603955187
42.5397261242, -83.1204444898, 195.60273271
42.5397261176, -83.12044449, 195.603859271
42.5397234985, -83.1204444844, 195.604555682
42.5397173988, -83.1204441802, 195.606578972
42.5397103626, -83.1204440165, 195.617565766
42.5397007018, -83.1204437927, 195.745953466
42.539688485, -83.1204436632, 195.716189712
42.5396747516, -83.1204431905, 195.705066547
42.5396605255, -83.1204428546, 195.701680845
42.5396455034, -83.1204428318, 195.700818268
42.5396295276, -83.1204429885, 195.700980952
42.5396131119, -83.1204429494, 195.70292907
42.5395955442, -83.12044139, 195.7072075
42.5395780261, -83.1204402107, 195.720579247
42.5395594736, -83.1204397491, 195.854429404
42.5395328803, -83.1204391458, 195.827311276
42.5394945311, -83.1204385097, 195.817519747
42.5394492726, -83.1204372529, 195.828747665
42.5394069111, -83.120436182, 195.987373762
42.539367473, -83.120435105, 196.240635826
42.5393217619, -83.1204341607, 196.320618256
42.5392734292, -83.1204325143, 196.422925155
42.5392226451, -83.1204307739, 196.650133807
42.5391657718, -83.120428662, 196.719271844
42.5391092551, -83.1204249374, 196.816804229
42.539057478, -83.1204219208, 197.043545664
42.5390086432, -83.1204178266, 197.112295077
42.5389577428, -83.1204133307, 197.186811446
42.5388976759, -83.1204097159, 197.132464836
42.5388300796, -83.1204072077, 197.108194824
42.5387599385, -83.1204060332, 197.098915704
42.5386941347, -83.1204054783, 197.102432308
42.5386327203, -83.1204048112, 197.115594971
42.5385749887, -83.1204034604, 197.248009525
42.5385194108, -83.1204016952, 197.223900108
42.5384664586, -83.1203998412, 197.225396587
42.5384168467, -83.1203974837, 197.355351681
42.5383704332, -83.1203952079, 197.337905551
42.5383259026, -83.120393591, 197.458858388
42.5382796971, -83.120391228, 197.429962629
42.5382397212, -83.1203890636, 197.543977986
42.5382174653, -83.1203878435, 197.521504795
42.5382092737, -83.120386722, 197.627066415
42.5382013926, -83.1203855066, 197.435367099
42.5381910764, -83.120385203, 197.166651134
42.5381780942, -83.1203854085, 196.961633564
42.5381720706, -83.120385928, 197.034076184
42.5381742803, -83.1203858927, 196.943158668
42.5381771006, -83.1203874169, 196.989476089
42.5381744875, -83.1203882995, 197.010751762
42.5381710934, -83.1203881328, 197.143994397
42.5381675664, -83.1203878335, 197.118462673
42.5381606215, -83.1203872278, 197.107993573
42.5381511891, -83.1203878398, 197.105609531
42.5381424432, -83.1203883555, 197.114331186
42.5381399977, -83.1203886366, 197.249653626
42.5381397836, -83.1203893397, 197.230540631
42.5381405761, -83.120390099, 197.341801254
42.5381408038, -83.1203904837, 197.287456308
42.5381404052, -83.1203906857, 197.117754632
42.5381399769, -83.1203910699, 196.866639031
42.5381407841, -83.1203916495, 196.788215554
42.5381407036, -83.1203921657, 196.694865256
42.5381406912, -83.1203926667, 196.596347241
42.5381407097, -83.1203931557, 196.494091179
42.5381409857, -83.1203933299, 196.385921139
42.5381406288, -83.1203937067, 196.161338329
42.5381408032, -83.1203940307, 196.10313032
42.5381407106, -83.1203949359, 196.147910435
42.5381405441, -83.1203956806, 196.037025198
42.5381406919, -83.1203959817, 196.066119761
42.5381396009, -83.1203964969, 195.956481555
42.5381360393, -83.1203960035, 196.00329304
42.5381271367, -83.1203955945, 196.147193541
42.5381088634, -83.1203948836, 196.125498839
42.5380848876, -83.1203946815, 196.234071579
42.5380708315, -83.1203943727, 196.198103231
42.5380636322, -83.1203943992, 196.067804448
42.53805962, -83.1203954019, 196.107267072
42.5380519553, -83.1203949421, 196.242525013
42.5380406614, -83.1203940426, 196.210439679
42.5380263555, -83.1203938922, 196.086510272
42.5380050025, -83.1203941213, 196.247633761
42.5379802806, -83.1203941423, 196.355817912
42.5379577771, -83.1203935414, 196.326958159
42.5379377714, -83.1203931732, 196.33176197
42.5379149331, -83.1203927439, 196.464146125
42.5378837801, -83.1203911908, 196.445898052
42.537842971, -83.1203894166, 196.56786301
42.5377883477, -83.1203865929, 196.544357633
42.5377207709, -83.1203847003, 196.664947543
42.5376470592, -83.1203836957, 196.758791087
42.5375793119, -83.1203828942, 196.733060659
42.5375185805, -83.1203825765, 196.856722911
42.5374615286, -83.1203810371, 196.835883147
42.53740746, -83.120379139, 196.953326121
42.537355497, -83.1203770304, 196.919724493
42.5373070835, -83.1203752044, 196.908870004
42.537263632, -83.1203739777, 196.91019129
42.5372219734, -83.1203724821, 196.918532881
42.5371812709, -83.1203703199, 197.04381893
42.5371425367, -83.1203682689, 197.010523164
42.5371165621, -83.1203674601, 197.005671384
42.5370996439, -83.1203661271, 197.008625947
42.5370816443, -83.1203645157, 197.005747612
42.537062261, -83.1203636779, 197.001286852
42.5370450793, -83.1203634876, 197.00063694
42.5370377375, -83.1203621452, 197.113914762
42.5370369321, -83.1203614965, 196.936894667
42.5370416009, -83.1203606188, 196.797346664
42.5370439548, -83.1203592369, 196.541611627
42.5370451099, -83.1203593169, 196.325110021
42.5370451052, -83.1203592229, 196.132625236
42.5370458651, -83.1203600924, 196.076625953
42.5370460503, -83.1203601816, 195.994419366
42.5370464735, -83.1203606339, 195.906668453
42.5370448302, -83.1203606471, 195.822125834
42.5370384766, -83.1203598289, 195.855382545
42.5370288788, -83.1203591972, 195.740343482
42.537017039, -83.1203582969, 195.769220597
42.536999474, -83.1203573302, 195.659667321
42.5369730467, -83.1203551763, 195.806862757
42.5369418985, -83.1203541101, 195.65901023
42.536918477, -83.120353715, 195.6962663
42.5369076723, -83.1203537733, 195.848049743
42.5369009915, -83.1203538205, 195.83975609
42.5368924552, -83.1203539242, 195.962074653
42.5368802177, -83.1203533919, 195.935552894
42.536871817, -83.1203527001, 196.055211385
42.5368720189, -83.1203528145, 196.03813985
42.5368752082, -83.120352285, 196.158081029
42.5368756227, -83.1203516965, 196.122523766
42.5368749995, -83.120351489, 196.108244989
42.5368748042, -83.1203511605, 196.103508401
42.5368744831, -83.1203505132, 196.102017974
42.5368741725, -83.1203500229, 196.102694045
42.5368740936, -83.1203501343, 196.106527793
42.5368736512, -83.1203497004, 196.11641428
42.5368735612, -83.1203496238, 196.244855713
42.5368735852, -83.1203498163, 196.214552222
42.5368733507, -83.1203495287, 196.199163266
42.5368732033, -83.1203496504, 196.183265416
42.5368728526, -83.1203497047, 196.048997196
42.5368729416, -83.1203496709, 196.067827782
42.5368730989, -83.1203503415, 195.951960125
42.5368731019, -83.1203506378, 195.990712813
42.5368718865, -83.1203506632, 196.017151143
42.5368671593, -83.1203504288, 196.156913427
42.536856197, -83.1203494872, 196.142872768
42.5368319142, -83.1203479612, 196.259948673
42.5367974038, -83.1203457428, 196.232370496
42.5367614085, -83.120343671, 196.351792045
42.5367177545, -83.1203425618, 196.317169252
42.5366715134, -83.1203426679, 196.308036842
42.536628849, -83.1203426493, 196.320314236
42.53658765, -83.1203418713, 196.456589924
42.5365364392, -83.1203392403, 196.43066285
42.5364857943, -83.1203365343, 196.546645718
42.5364387608, -83.1203343655, 196.515221959
42.5363946737, -83.1203325452, 196.503732668
