time,lat,lon,alt,vel m/s,Hav.Heading,Yaw Rads/sec,Yaw Rate/s2
20151020:102014.14,42.54766633,-83.12077317,198.9,1.366877708,336.6670689,0.014275284,0.071376422
20151020:102014.14,42.54768633,-83.1207855,198.9,2.92975858,335.5731799,-0.095459819,-0.477299097
20151020:102014.14,42.547718,-83.12080483,198.9,4.269370756,335.7885216,0.018792111,0.093960554
20151020:102014.14,42.5477595,-83.12083017,198.9,5.41195088,335.7799133,-0.000751221,-0.003756103
20151020:102014.14,42.54780567,-83.12085933,198.9,5.794697216,335.0477882,-0.063889966,-0.319449829
20151020:102015.15,42.54785567,-83.12088983,198.9,6.230431284,335.8010986,0.065738737,0.328693685
20151020:102015.15,42.54791083,-83.12091917,198.9,6.748990836,338.601652,0.244394382,1.221971908
20151020:102015.15,42.54797317,-83.12094867,198.8,7.59062122,340.7804115,0.190132634,0.950663171
20151020:102015.15,42.5480435,-83.12098117,198.8,8.513533756,341.1994105,0.036564566,0.182822829
20151020:102015.15,42.54812017,-83.1210175,198.7,9.25484756,340.7564625,-0.038654507,-0.193272534
20151020:102016.16,42.54819883,-83.1210565,198.6,9.310921956,339.9345888,-0.071722014,-0.358610069
20151020:102016.16,42.548276,-83.12109583,198.6,9.089196592,339.4205467,-0.044858637,-0.224293184
20151020:102016.16,42.548348,-83.12113533,198.5,8.439968264,337.9931353,-0.124565141,-0.622825704
20151020:102016.16,42.54840983,-83.12118067,198.5,7.581361228,331.6208694,-0.556085104,-2.780425522
20151020:102016.16,42.54845383,-83.12123867,198.5,6.642500928,315.8396551,-1.377170748,-6.885853741
20151020:102017.17,42.548476,-83.12130567,198.5,5.937712648,294.1875266,-1.889504658,-9.44752329
20151020:102017.17,42.54847967,-83.12136517,198.5,4.554887176,274.7859478,-1.693107155,-8.465535776
20151020:102017.17,42.54847433,-83.12140367,198.5,2.688484344,259.3376121,-1.348121609,-6.740608045
20151020:102017.17,42.54846633,-83.12142967,198.5,2.098417076,247.331675,-1.047715659,-5.238578294
20151020:102017.17,42.54845383,-83.12145183,198.5,2.366956844,232.5595166,-1.28911401,-6.445570048
20151020:102018.18,42.54842933,-83.12147217,198.5,3.622200204,211.4506397,-1.842097017,-9.210485085
20151020:102018.18,42.548389,-83.121479,198.5,5.013771224,187.1116649,-2.123976233,-10.61988117
20151020:102018.18,42.54833817,-83.12146433,198.5,6.199564644,167.9965021,-1.668112638,-8.340563192
20151020:102018.18,42.548281,-83.12143183,198.5,7.205817108,157.2758865,-0.935550202,-4.677751009
20151020:102018.18,42.5482165,-83.12139033,198.5,8.252710648,154.6387522,-0.230133376,-1.150666878
20151020:102019.19,42.5481415,-83.12134633,198.5,9.455480719,156.6258587,0.17340775,0.867038748
20151020:102019.19,42.548054,-83.12130117,198.5,10.81978621,159.1818533,0.223052605,1.115263024
20151020:102019.19,42.54795617,-83.12125267,198.5,11.91195082,159.9362558,0.065834038,0.329170189
20151020:102019.19,42.5478505,-83.12120167,198.5,12.71345457,160.426487,0.042780743,0.213903715
20151020:102019.19,42.54773733,-83.12115083,198.5,13.47431724,161.6876085,0.110053618,0.550268092
20151020:102020.20,42.54761667,-83.12110083,198.4,14.28199433,163.0233139,0.116562285,0.582811427
20151020:102020.20,42.5474885,-83.121051,198.3,15.07526698,164.0171595,0.086729387,0.433646934
20151020:102020.20,42.54735333,-83.12100033,198.2,15.82326855,164.5615854,0.047510126,0.237550631
20151020:102020.20,42.54721417,-83.12094917,198.2,16.15096938,164.8453755,0.024765355,0.123826776
20151020:102020.20,42.54707167,-83.12090117,198.2,16.38812807,166.0630748,0.106264314,0.531321568
20151020:102021.21,42.54692483,-83.12085783,198.2,16.84186767,167.7322935,0.145666807,0.728334035
20151020:102021.21,42.54677333,-83.12081683,198.2,17.31412726,168.7243451,0.086572833,0.432864164
20151020:102021.21,42.54661733,-83.12077717,198.1,17.79101685,169.3914823,0.058218706,0.291093532
20151020:102021.21,42.5464565,-83.12074267,198.1,18.24527091,171.0193959,0.142062262,0.710311311
20151020:102021.21,42.54629283,-83.12071183,198,18.43870185,172.0966675,0.094009681,0.470048403
20151020:102022.22,42.54613017,-83.1206845,197.9,18.11717435,172.94352,0.073901822,0.369509108
20151020:102022.22,42.54597033,-83.12066383,197.9,17.72876913,174.5577296,0.140866363,0.704331814
20151020:102022.22,42.54581617,-83.12065417,197.8,16.92263538,177.3567867,0.244263806,1.221319032
20151020:102022.22,42.545671,-83.120653,197.7,15.77028082,179.6597956,0.200975443,1.004877217
20151020:102022.22,42.5455345,-83.12065233,197.7,14.90704379,179.792806,0.011607343,0.058036717
20151020:102023.23,42.545406,-83.12065083,197.7,14.01911344,179.5072628,-0.024918338,-0.124591689
