lat,lon,alt,x_vel,y_vel,z_vel,x_accel,y_accel,z_accel
42.32801567,-83.04548633,192.5,0,0,0,0,0,-0.1
42.32801533,-83.04548617,192.6,0,0,0.1,0,0,0.1
42.32801517,-83.045486,192.6,0,0,0,0,0,-0.1
42.32801483,-83.04548583,192.7,0,0,0.1,0,0,0.1
42.32801467,-83.0454855,192.7,0,0,0,0,0,-0.1
42.3280145,-83.04548533,192.7,0,0,0,0,0,0
42.32801433,-83.04548483,192.7,0,0,0,0,0,0
42.32801633,-83.04548,192.7,-0.134587163,0.605645612,0,0,0,0
42.32802333,-83.04546,192.7,2.19760208,-0.585870731,0,2.332189243,-1.191516343,0
42.328039,-83.04542333,191.8,4.050762002,0.241159194,-0.9,1.853159922,0.827029925,-0.9
42.32806233,-83.04537083,191.3,3.105603751,4.624965836,-0.5,-0.945158251,4.383806642,0.4
42.3280955,-83.045309,190.8,-1.874175582,-6.446585938,-0.5,-4.979779333,-11.07155177,0
42.3281315,-83.045232,190.3,7.375438183,-2.696725198,-0.5,9.249613765,3.74986074,0
42.3281685,-83.04514067,189.9,-8.242887628,-3.30241869,-0.4,-15.61832581,-0.605693492,0.1
42.328208,-83.045039,189.6,-3.088318579,9.261790646,-0.3,5.154569049,12.56420934,0.1
42.32825117,-83.04492867,189.2,-10.1830689,2.697396492,-0.4,-7.094750317,-6.564394154,-0.1
42.32829883,-83.04481267,188.9,-11.11781727,-0.791328176,-0.3,-0.934748371,-3.488724668,0.1
42.32834817,-83.04469217,188.7,-11.2925044,-1.950722578,-0.2,-0.174687134,-1.159394402,0.1
42.32839883,-83.04456683,188.5,-11.81762461,-1.437632749,-0.2,-0.525120209,0.513089829,0
42.3284525,-83.04443917,188.3,-10.11922421,-6.790882032,-0.2,1.698400398,-5.353249283,0
42.328508,-83.04430883,188,0.377231277,-12.46235676,-0.3,10.49645549,-5.671474729,-0.1
42.328565,-83.04417733,187.8,5.701958613,-11.2178456,-0.2,5.324727336,1.244511157,0.1
42.3286215,-83.04404717,187.8,2.456871688,-12.103939,0,-3.245086924,-0.886093402,0.2
42.32867633,-83.04392017,187.9,-2.146737612,-11.81470391,0.1,-4.6036093,0.289235097,0.1
42.32872783,-83.0438005,187.9,-5.034079469,-9.916665477,0,-2.887341857,1.898038431,-0.1
42.3287735,-83.0436935,187.9,-1.54941381,-9.616981966,0,3.484665659,0.299683511,0
42.32881283,-83.04360317,187.8,5.967680475,-5.565446689,-0.1,7.517094285,4.051535277,-0.1
42.328842,-83.04352767,187.9,5.852123361,2.918763258,0.1,-0.115557114,8.484209946,0.2
42.328853,-83.04346,187.9,3.215072434,-4.475010615,0,-2.637050927,-7.393773873,-0.1
42.328841,-83.04339917,187.8,3.892753893,3.686056494,-0.1,0.677681459,8.161067109,-0.1
42.32881033,-83.04335467,187.7,2.313555624,-4.650085523,-0.1,-1.579198269,-8.336142017,0
42.32877067,-83.04332233,187.4,-3.22272713,4.270697626,-0.3,-5.536282754,8.920783149,-0.2
42.32872567,-83.04329,187.1,1.390030465,5.84306917,-0.3,4.612757594,1.572371544,0
42.328675,-83.04325267,186.7,-2.557268344,6.284634406,-0.4,-3.947298808,0.441565236,-0.1
42.3286185,-83.0432095,186.5,-6.808446261,3.241530491,-0.2,-4.251177917,-3.043103915,0.2
42.3285555,-83.04316117,186.3,-4.644532773,6.99032987,-0.2,2.163913488,3.748799378,0
42.32848533,-83.04310833,186,-2.639340992,8.960651869,-0.3,2.005191781,1.970321999,-0.1
