nice_timestamp	timestamp	lat	lon	speed(m/s)	angle	alt
1	82518	42.3309781667	-83.0395098333	0.008745548	None	184.3
1	82519	42.3309795	-83.0395105	0.011317768	None	184.1
1	82520	42.3309805	-83.0395111667	0.031381084	None	184.0
1	82521	42.33098	-83.0395121667	0.008231104	None	183.9
1	82522	42.3309785	-83.0395141667	0.1671943	None	184.1
1	82523	42.3309761667	-83.0395188333	0.545825084	243.13	184.3
1	82524	42.3309708333	-83.039531	1.393114352	241.53	184.3
1	82525	42.3309615	-83.0395541667	2.508943388	241.41	184.3
1	82526	42.3309475	-83.0395891667	3.554293596	241.15	184.2
1	82527	42.3309313333	-83.0396281667	3.808943376	240.05	184.2
1	82528	42.3309131667	-83.0396696667	4.100633124	239.57	184.0
1	82529	42.330892	-83.0397175	4.628967112	239.01	183.9
1	82530	42.3308681667	-83.039771	5.334269836	239.23	184.0
1	82531	42.330844	-83.0398278333	5.400118668	240.63	184.0
1	82532	42.3308185	-83.0398916667	6.166640228	242.42	183.9
1	82533	42.3307901667	-83.0399728333	7.890542072	245.63	184.1
1	82534	42.3307595	-83.0400753333	9.621131688	248.53	184.2
1	82535	42.3307251667	-83.0401933333	10.776058468	248.36	184.2
1	82536	42.3306881667	-83.0403171667	11.079580428	248.03	184.2
1	82537	42.3306483333	-83.0404373333	10.77245736	245.51	184.3
1	82538	42.3306056667	-83.0405415	9.400435212	239.68	184.3
1	82539	42.3305691667	-83.0406351667	8.432766048	243.22	184.3
1	82540	42.3305385	-83.040722	7.712544448	244.47	184.3
1	82541	42.3305118333	-83.0408013333	6.9321329	246.07	184.2
1	82542	42.3304903333	-83.0408733333	6.083814744	246.60	184.2
1	82543	42.330473	-83.0409318333	4.793589192	247.87	184.2
1	82544	42.3304635	-83.040982	4.052275388	254.48	184.2
1	82545	42.3304671667	-83.0410291667	3.883537756	274.10	184.3
1	82546	42.3304831667	-83.041067	3.798140052	301.61	184.3
1	82547	42.3305115	-83.0410955	4.08725758	319.62	184.5
1	82548	42.3305465	-83.041119	4.643885988	324.28	184.4
1	82549	42.3305716667	-83.041118	2.866481968	329.39	184.3
1	82550	42.3306236667	-83.0411371667	5.562168528	345.02	184.5
1	82551	42.3306736667	-83.0411736667	6.617807616	341.46	184.6
1	82552	42.3307348333	-83.0411991667	6.717095308	344.46	184.3
1	82553	42.3308046667	-83.0412555	6.799406348	339.64	184.3
1	82554	42.330858	-83.0413131667	6.503086604	330.49	184.1
